timestamp,value,gesture
1780322299.657150,555,relax
1780322299.678152,554,relax
1780322299.698152,545,relax
1780322299.718151,548,relax
1780322299.740017,539,relax
1780322299.760020,560,relax
1780322299.776442,538,relax
1780322299.797149,539,relax
1780322299.817152,541,relax
1780322299.837167,538,relax
1780322299.858154,528,relax
1780322299.878228,531,relax
1780322299.899459,529,relax
1780322299.920152,543,relax
1780322299.936464,556,relax
1780322299.957149,553,relax
1780322299.977164,552,relax
1780322299.998154,562,relax
1780322300.018152,564,relax
1780322300.039191,554,relax
1780322300.059152,569,relax
1780322300.079172,563,relax
1780322300.099655,563,relax
1780322300.116489,566,relax
1780322300.137155,565,relax
1780322300.157150,547,relax
1780322300.178151,555,relax
1780322300.198152,535,relax
1780322300.219153,547,relax
1780322300.239506,544,relax
1780322300.260089,547,relax
1780322300.280509,535,relax
1780322300.301092,548,relax
1780322300.321515,548,relax
1780322300.337905,562,relax
1780322300.358186,552,relax
1780322300.378192,549,relax
1780322300.399171,565,relax
1780322300.419530,565,relax
1780322300.440113,570,relax
1780322300.460536,568,relax
1780322300.481118,576,relax
1780322300.497207,569,relax
1780322300.518171,564,relax
1780322300.538171,554,relax
1780322300.559172,565,relax
1780322300.579171,556,relax
1780322300.600135,563,relax
1780322300.620558,566,relax
1780322300.641141,583,relax
1780322300.661564,578,relax
1780322300.677161,559,relax
1780322300.698228,560,relax
1780322300.718171,570,relax
1780322300.739179,562,relax
1780322300.759578,554,relax
1780322300.780151,558,relax
1780322300.800583,543,relax
1780322300.821193,558,relax
1780322300.836816,547,relax
1780322300.858170,553,relax
1780322300.878180,553,relax
1780322300.899169,554,relax
1780322300.919599,553,relax
1780322300.940182,562,relax
1780322300.960340,568,relax
1780322300.981188,569,relax
1780322301.001190,559,relax
1780322301.017161,563,relax
1780322301.038157,557,relax
1780322301.058151,565,relax
1780322301.079150,555,relax
1780322301.099512,559,relax
1780322301.120207,556,relax
1780322301.140630,539,relax
1780322301.161212,537,relax
1780322301.181149,541,relax
1780322301.202216,544,relax
1780322301.218510,539,relax
1780322301.239158,549,relax
1780322301.259226,553,relax
