rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg
568.4323989331209,567.4705882352941,14.0,1290.0,33.0533454396377,33.0533454396377,27.69319492502884,14.0,1290.0,33.0533454396377,567.4705882352941,562.0,509.0,641.0,132.0,546.0,589.0,1412.3529411764707
560.0736023059826,545.04,5.0,2547.0,128.894679486781,128.894679486781,90.4128,5.0,2547.0,128.89467948678097,545.04,511.5,367.0,1022.0,655.0,467.0,584.5,4520.639999999999
509.7109769271209,509.56,21.0,612.0,12.405095727159868,12.405095727159868,10.08,21.0,612.0,12.405095727159868,509.56,509.5,480.0,538.0,58.0,502.0,518.75,504.0
522.4458058019032,522.22,23.0,915.0,15.358762971020813,15.358762971020813,13.077600000000002,23.0,915.0,15.35876297102081,522.22,520.0,491.0,555.0,64.0,509.75,532.75,653.8800000000001
493.95939104343387,492.44,13.0,1234.0,38.71338786518173,38.71338786518173,30.8704,13.0,1234.0,38.71338786518173,492.44,485.5,417.0,585.0,168.0,467.25,517.25,1543.52
383.2477788585343,381.7,17.0,1143.0,34.40886513676381,34.40886513676381,25.772,17.0,1143.0,34.40886513676381,381.7,379.0,299.0,485.0,186.0,361.0,397.75,1288.6
355.38866048313923,354.1,13.0,991.0,30.23722870899382,30.23722870899382,24.832000000000008,13.0,991.0,30.23722870899382,354.1,351.0,295.0,423.0,128.0,332.0,375.75,1241.6000000000004
544.8169600884319,544.12,13.0,907.0,27.54896731276873,27.54896731276873,22.9296,13.0,907.0,27.54896731276873,544.12,541.5,477.0,603.0,126.0,524.25,562.75,1146.48
514.7384578599116,514.44,27.0,1027.0,17.526163299478867,17.526163299478867,13.404799999999996,27.0,1027.0,17.526163299478867,514.44,516.0,469.0,547.0,78.0,507.0,527.0,670.2399999999998
523.5238867520756,522.74,31.0,1888.0,28.638303022351028,28.638303022351028,24.4008,31.0,1888.0,28.638303022351028,522.74,528.5,465.0,584.0,119.0,504.0,545.25,1220.04
486.61670748136055,486.26,19.0,838.0,18.628805651463544,18.628805651463544,15.548800000000002,19.0,838.0,18.628805651463544,486.26,490.0,440.0,524.0,84.0,472.25,499.0,777.44
495.51823377147286,495.44,29.0,538.0,8.804907722401184,8.804907722401184,7.0448,29.0,538.0,8.804907722401184,495.44,496.0,478.0,517.0,39.0,489.0,501.0,352.24
509.4297792630501,509.3,22.0,597.0,11.49826073804208,11.49826073804208,8.552,22.0,597.0,11.49826073804208,509.3,509.0,483.0,548.0,65.0,502.25,515.5,427.6
513.6508541801522,513.36,22.0,965.0,17.283240436908816,17.283240436908816,14.0144,22.0,965.0,17.283240436908816,513.36,512.5,480.0,563.0,83.0,502.0,525.5,700.72
521.8347247932049,521.72,26.0,640.0,10.941736608052672,10.941736608052672,8.908800000000001,26.0,640.0,10.941736608052672,521.72,521.0,500.0,547.0,47.0,512.25,529.0,445.44000000000005
491.8797617304457,491.22,25.0,1609.0,25.4678542480516,25.4678542480516,20.3312,25.0,1609.0,25.4678542480516,491.22,492.5,435.0,544.0,109.0,475.0,512.0,1016.56
531.2736959421198,531.06,27.0,851.0,15.067063416605109,15.067063416605109,11.594399999999986,27.0,851.0,15.067063416605109,531.06,529.0,493.0,563.0,70.0,523.0,539.5,579.7199999999993
491.1581008188708,490.8,29.0,1069.0,18.75206655278292,18.75206655278292,15.392000000000005,29.0,1069.0,18.75206655278292,490.8,488.5,457.0,534.0,77.0,477.0,503.0,769.6000000000001
521.3502277739984,521.22,21.0,583.0,11.652107105583951,11.652107105583951,9.584799999999996,21.0,583.0,11.652107105583951,521.22,523.0,487.0,543.0,56.0,514.0,530.5,479.2399999999998
